	Gene_0	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49
topic_0	3.115264797507833e-05	0.02308411214953271	0.04894080996884736	3.115264797507788e-05	0.01498442367601246	3.115264797507788e-05	3.115264797507833e-05	0.014361370716510901	0.00034267912772585656	3.115264797507791e-05	0.01280373831775701	0.029937694704049844	0.10439252336448598	0.007819314641744547	0.024018691588785043	0.00034267912772585716	0.0047040498442367604	0.0019003115264797513	3.115264797507611e-05	3.115264797507791e-05	3.115264797507788e-05	0.07448598130841122	0.049563862928348905	0.00034267912772585493	0.012803738317757007	0.07479750778816201	0.010623052959501557	0.0009657320872274148	0.02526479750778816	3.115264797507788e-05	3.115264797507833e-05	3.115264797507788e-05	0.013115264797507789	0.01218068535825545	3.115264797507611e-05	0.03429906542056074	0.0009657320872274144	0.010311526479750777	3.115264797507788e-05	0.003769470404984424	0.2638940809968847	0.054859813084112155	0.0003426791277258567	0.050498442367601246	3.115264797507791e-05	3.115264797508497e-05	3.115264797508497e-05	3.115264797507833e-05	0.018722741433021804	3.115264797507777e-05
topic_1	0.0054471544715447165	2.7100271002710417e-05	0.03688346883468835	2.710027100271003e-05	2.710027100270849e-05	2.710027100271003e-05	2.7100271002710417e-05	2.7100271002710417e-05	0.0016531165311653119	2.7100271002710054e-05	0.003279132791327914	0.01899728997289973	0.02848238482384825	0.0002981029810298088	0.014119241192411924	0.004092140921409215	0.00029810298102981073	0.0054471544715447165	0.09840108401084012	2.7100271002710054e-05	2.710027100271003e-05	0.02739837398373984	2.710027100270849e-05	0.04989159891598917	0.000569105691056911	0.03173441734417345	0.000569105691056911	0.02143631436314363	2.710027100270849e-05	2.710027100271003e-05	0.00924119241192412	2.710027100271003e-05	2.7100271002710417e-05	2.710027100270849e-05	0.02062330623306233	2.7100271002710417e-05	2.7100271002710054e-05	2.710027100270849e-05	2.710027100271003e-05	2.7100271002710417e-05	0.03281842818428185	0.10626016260162603	2.7100271002710054e-05	0.000569105691056911	2.7100271002710054e-05	0.22712737127371274	0.2531436314363144	2.7100271002710417e-05	2.7100271002710417e-05	0.0005691056910569106
topic_2	2.889338341519833e-05	0.021987864778965614	2.8893383415196276e-05	2.8893383415197923e-05	0.08584224212655303	2.8893383415197923e-05	0.007830106905518637	0.008696908407974572	0.0006067610517191562	0.00031782721756717713	2.889338341519833e-05	2.8893383415196276e-05	0.11069055186362324	0.030944813637676972	0.00031782721756717545	0.0003178272175671775	0.0034960993932389487	2.889338341519833e-05	0.050592314360011555	0.0008956948858711355	2.8893383415197923e-05	0.0765963594336897	0.0037850332273909257	0.049725512857555616	0.021409997110661657	2.8893383415196276e-05	2.889338341519833e-05	0.0008956948858711359	0.05665992487720313	2.8893383415197923e-05	2.889338341519833e-05	2.8893383415197923e-05	2.889338341519833e-05	0.035567754984108635	0.009852643744582489	2.889338341519833e-05	2.8893383415197946e-05	0.09393238948280844	2.8893383415197923e-05	0.009274776076278532	0.007252239237214684	0.13813926610806126	2.8893383415197946e-05	2.8893383415196276e-05	0.0006067610517191563	0.10809014735625543	0.02718867379370125	0.008985842242126554	0.028344409130309157	0.0006067610517191562
