	Gene_0	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49
topic_0	0.00326374595707145	0.03884151720082329	0.005027932960893853	2.940311673037342e-05	0.08206409879447223	2.940311673037342e-05	0.007968244633931197	0.011496618641576006	2.9403116730373315e-05	2.9403116730373444e-05	0.008556306968538666	0.004439870626286385	0.12763892972655103	0.030314613349014995	0.018553366656865626	2.9403116730373837e-05	0.008262275801234932	0.007380182299323729	0.0003234342840341143	0.000911496618641576	2.940311673037342e-05	0.07530138194648633	2.9403116730371747e-05	0.029726551014407535	0.01884739782416936	0.00620405763010879	2.9403116730373837e-05	2.9403116730373837e-05	0.06324610408703323	2.940311673037342e-05	0.005615995295501323	2.940311673037342e-05	0.007968244633931197	0.035901205527785945	2.9403116730371747e-05	2.9403116730371747e-05	0.000911496618641576	0.08970890914436931	2.940311673037342e-05	0.004733901793590121	0.061481917083210824	0.14234048809173774	2.9403116730373444e-05	2.9403116730371747e-05	2.9403116730373444e-05	0.05854160541017348	0.002381652455160254	0.00679211996471626	0.034725080858571004	2.9403116730373315e-05
topic_1	2.7917364600782085e-05	2.7917364600782085e-05	0.01984924623115578	2.7917364600781692e-05	2.7917364600780103e-05	2.7917364600781692e-05	2.7917364600782085e-05	2.7917364600782085e-05	2.791736460078159e-05	0.0003070910106085986	0.003098827470686768	0.011474036850921273	0.01705750977107762	2.7917364600782085e-05	0.0014237855946398646	0.004215522054718036	2.7917364600782085e-05	2.7917364600782085e-05	0.10360134003350085	2.7917364600781716e-05	2.7917364600781692e-05	0.027386934673366836	2.7917364600780103e-05	0.07149637074260191	0.002261306532663315	0.030457844779452823	2.7917364600782085e-05	0.020128419877163597	0.013428252372975992	2.7917364600781692e-05	0.004215522054718036	2.7917364600781692e-05	0.004215522054718036	2.7917364600782085e-05	0.03073701842546064	0.0008654383026242328	2.7917364600781716e-05	2.7917364600780103e-05	2.7917364600781692e-05	2.7917364600782085e-05	2.7917364600788038e-05	0.10304299274148522	0.0003070910106085986	2.7917364600780103e-05	2.7917364600781716e-05	0.2828308207705193	0.24681742043551091	2.7917364600782085e-05	2.7917364600780103e-05	2.791736460078159e-05
topic_2	0.0026939017169923035	0.0053582001184132606	0.060716400236826534	2.9603315571343993e-05	0.019567791592658375	2.9603315571343993e-05	2.960331557134441e-05	0.010982830076968618	0.002693901716992303	2.9603315571344017e-05	0.003878034339846063	0.03259325044404973	0.09712847838957964	0.00891059798697454	0.018383658969804616	0.0006216696269982242	2.960331557134441e-05	0.00032563647128478433	0.04917110716400237	2.9603315571344017e-05	2.9603315571343993e-05	0.07433392539964477	0.050947306098283004	2.9603315571342306e-05	0.013351095322676138	0.0672291296625222	0.010686796921255182	0.003878034339846063	0.004174067495559501	2.9603315571343993e-05	2.960331557134441e-05	2.9603315571343993e-05	2.960331557134441e-05	0.011870929544108939	2.960331557134441e-05	0.03170515097690941	2.9603315571344017e-05	0.015719360568383658	2.9603315571343993e-05	0.008318531675547662	0.23211959739490823	0.05716400236826525	2.9603315571344017e-05	0.048579040852575486	0.0006216696269982238	2.9603315571350722e-05	0.04029011249259918	0.0023978685612788637	0.011870929544108939	0.0012137359384251035
